<?php  if ( ! defined('BASEPATH')) exit('No direct script access allowed'); ?>
ERROR - 2014-12-29 05:24:06 --> Severity: Notice  --> Use of undefined constant nguyenvong2 - assumed 'nguyenvong2' D:\xampp\htdocs\dkdttn\application\controllers\c_dangkychuyennganh.php 57
ERROR - 2014-12-29 09:42:39 --> Severity: Notice  --> Use of undefined constant nguyenvong2 - assumed 'nguyenvong2' D:\xampp\htdocs\dkdttn\application\controllers\c_dangkychuyennganh.php 57
ERROR - 2014-12-29 11:50:54 --> Severity: Notice  --> Undefined index: gv_id D:\xampp\htdocs\dkdttn\application\controllers\c_home.php 425
ERROR - 2014-12-29 11:50:54 --> Severity: Notice  --> Undefined index: cauhinh_id D:\xampp\htdocs\dkdttn\application\controllers\c_home.php 426
ERROR - 2014-12-29 11:50:54 --> Severity: Notice  --> Undefined index: cn_id D:\xampp\htdocs\dkdttn\application\controllers\c_home.php 427
ERROR - 2014-12-29 12:11:34 --> Severity: Notice  --> Use of undefined constant nguyenvong2 - assumed 'nguyenvong2' D:\xampp\htdocs\dkdttn\application\controllers\c_dangkychuyennganh.php 57
ERROR - 2014-12-29 15:56:17 --> Severity: Notice  --> Use of undefined constant nguyenvong2 - assumed 'nguyenvong2' D:\xampp\htdocs\dkdttn\application\controllers\c_dangkychuyennganh.php 57
ERROR - 2014-12-29 15:56:37 --> Severity: Notice  --> Use of undefined constant nguyenvong2 - assumed 'nguyenvong2' D:\xampp\htdocs\dkdttn\application\controllers\c_dangkychuyennganh.php 57
ERROR - 2014-12-29 17:31:41 --> Severity: Notice  --> Use of undefined constant nguyenvong2 - assumed 'nguyenvong2' D:\xampp\htdocs\dkdttn\application\controllers\c_dangkychuyennganh.php 57
ERROR - 2014-12-29 17:31:52 --> Severity: Notice  --> Use of undefined constant nguyenvong2 - assumed 'nguyenvong2' D:\xampp\htdocs\dkdttn\application\controllers\c_dangkychuyennganh.php 57
ERROR - 2014-12-29 17:32:00 --> Severity: Notice  --> Use of undefined constant nguyenvong2 - assumed 'nguyenvong2' D:\xampp\htdocs\dkdttn\application\controllers\c_dangkychuyennganh.php 57
